CREDIT	INCOME
397070 	0 
254304 	23460 
71250 	61200 
398150 	102000 
90471 	20400 
24508 	11220 
48501 	13260 
27857 	21420 
77346 	11118 
144929 	39780 
129966 	12240 
125882 	22114 
123831 	10200 
111098 	13260 
44505 	9486 
66703 	10200 
300000 	61200 
156500 	40800 
55604 	12648 
150324 	25765 
136514 	15300 
250000 	32640 
59882 	22440 
342250 	49478 
55604 	13260 
137250 	30600 
55604 	13362 
132074 	14790 
66703 	21420 
114250 	17340 
230824 	51000 
42618 	13566 
118706 	25500 
126125 	25500 
24921 	15300 
78152 	25500 
36297 	15300 
24508 	11220 
53774 	13260 
139844 	14483 
50000 	17459 
27920 	13872 
65482 	16320 
0 	0 
20785 	9180 
31126 	22236 
275047 	46778 
66000 	25500 
209625 	35700 
44777 	9792 
56590 	25500 
158235 	75852 
192500 	21930 
70250 	15300 
96891 	16320 
261013 	56100 
115093 	11730 
119866 	14790 
62263 	18360 
229367 	25500 
128143 	14994 
38401 	15708 
88900 	13464 
120421 	15300 
47724 	9690 
64115 	14688 
88123 	12852 
170400 	22440 
77690 	8976 
119879 	19652 
68981 	20400 
192785 	35700 
79765 	26974 
323090 	0 
364900 	35700 
26369 	15300 
49740 	24480 
67734 	12240 
251900 	0 
59882 	51000 
156235 	30600 
255250 	30600 
97364 	25500 
138490 	13974 
127903 	24477 
174100 	36902 
81242 	12750 
399760 	27030 
53273 	20400 
31126 	11220 
328625 	31667 
34516 	10200 
96336 	9180 
83129 	7956 
181500 	51000 
100332 	12651 
161800 	91800 
86680 	17340 
441890 	32418 
68811 	17340 
220000 	35700 
59882 	51000 
95176 	20400 
111098 	12240 
162750 	20400 
303600 	54871 
124588 	45900 
193125 	14280 
129647 	47032 
234471 	45900 
94782 	15300 
62962 	11220 
73882 	25500 
224536 	19380 
123831 	8160 
59266 	16524 
44838 	8160 
69084 	8160 
72807 	10200 
214900 	30600 
72174 	16320 
68811 	13527 
146471 	0 
237647 	51239 
117979 	16320 
128887 	0 
128079 	15300 
465600 	69360 
118700 	41378 
329300 	40364 
166000 	40800 
68768 	14280 
300000 	0 
497800 	0 
137250 	15300 
124941 	18360 
49047 	21420 
148620 	14220 
78202 	10200 
112430 	13260 
67750 	16668 
161663 	13770 
150900 	25500 
128856 	24990 
92973 	21420 
64118 	19380 
20785 	11220 
205125 	34164 
64000 	25500 
166000 	35700 
160143 	15300 
300900 	69360 
119855 	13260 
54383 	10506 
85800 	27540 
85647 	35700 
136958 	13770 
236353 	0 
66118 	38760 
219059 	30600 
55604 	8874 
36090 	20400 
27857 	11322 
220900 	50301 
235800 	12240 
118706 	22304 
83412 	0 
423300 	0 
170900 	0 
66183 	13260 
64927 	21420 
41054 	8976 
46392 	8670 
386070 	35700 
48293 	12240 
26162 	15174 
290506 	15300 
211625 	22695 
58900 	19154 
123528 	27030 
207281 	45900 
91009 	13260 
101316 	10200 
91294 	30500 
180625 	13763 
125059 	32640 
147502 	22950 
415900 	35700 
271270 	31783 
38262 	10200 
128500 	19112 
59882 	25500 
489608 	45900 
113113 	35700 
45914 	19380 
122588 	33660 
157244 	15300 
67424 	11220 
325900 	26966 
144500 	40800 
64310 	12240 
180000 	30600 
132749 	10200 
69921 	19380 
20785 	12240 
445000 	37880 
69765 	30600 
79765 	30600 
130538 	17299 
63472 	14586 
188890 	26520 
120976 	22440 
130625 	32640 
113206 	27540 
97412 	23460 
60000 	44036 
49740 	16830 
58100 	0 
65926 	15300 
34229 	10200 
203294 	0 
262750 	37740 
360200 	25500 
376125 	22440 
270375 	29779 
54497 	25500 
390500 	51000 
235090 	22440 
68353 	20540 
57186 	14280 
1000000 	0 
118534 	19380 
146503 	13566 
57713 	15300 
181412 	0 
135515 	20400 
82119 	12240 
76035 	11098 
59882 	15300 
282480 	16867 
213411 	26357 
366471 	44982 
183484 	10227 
83053 	16116 
73000 	0 
100900 	17340 
166007 	0 
165926 	15300 
126151 	15300 
176248 	23460 
62824 	12240 
144471 	54253 
91897 	8160 
354900 	21124 
386125 	71584 
55604 	13260 
158789 	14688 
69165 	32905 
36316 	7140 
78400 	21879 
160119 	19380 
169149 	15198 
140509 	15300 
1000000 	1455044 
357882 	56100 
500900 	30600 
165300 	20400 
84153 	0 
200000 	0 
95892 	8292 
132625 	18360 
86104 	23681 
90232 	8364 
269800 	27540 
48300 	37230 
68034 	9180 
200649 	47940 
238300 	21058 
120941 	41820 
202588 	45900 
176072 	13341 
177529 	45900 
259059 	50582 
48526 	0 
54039 	20400 
240000 	0 
100238 	27234 
103500 	25500 
316090 	102000 
111098 	11493 
146401 	18360 
71475 	19380 
67036 	11628 
72585 	9180 
204900 	29580 
94671 	14280 
377070 	30600 
229529 	5100 
122196 	17340 
46392 	7344 
294277 	15280 
236800 	25500 
220900 	0 
126858 	15300 
101331 	9384 
229900 	22185 
197647 	41135 
69176 	25500 
48396 	19569 
197625 	36507 
51809 	15096 
96558 	12852 
63790 	27309 
123306 	34680 
63282 	22440 
145250 	0 
56772 	12526 
42285 	30600 
24000 	20400 
68811 	17340 
53900 	30600 
119879 	33660 
72172 	23001 
74000 	16803 
260727 	14280 
24580 	26010 
80265 	9180 
51053 	30600 
45060 	12138 
41397 	12240 
105471 	18452 
28190 	11362 
135412 	41569 
125859 	15198 
31463 	0 
36297 	13464 
42708 	15300 
126588 	23460 
173488 	22359 
95927 	8874 
143863 	15300 
130471 	34536 
339600 	65280 
216290 	40800 
36297 	20400 
108353 	28459 
507468 	0 
59053 	0 
94353 	0 
74794 	10200 
147292 	23868 
228262 	15300 
100900 	0 
260400 	56100 
100900 	0 
57290 	14280 
69366 	12240 
150059 	12240 
72474 	10200 
317200 	23460 
90200 	34881 
101664 	12852 
140125 	0 
270250 	23460 
78588 	35700 
53670 	11730 
68145 	9588 
147600 	0 
37789 	0 
402471 	36720 
104771 	15300 
59820 	25602 
141286 	13031 
99059 	30600 
400000 	0 
122947 	0 
64115 	16320 
276588 	34661 
198734 	0 
150125 	27329 
130168 	12240 
139508 	16932 
1000000 	0 
250000 	0 
87013 	14994 
28737 	0 
188900 	22440 
65926 	13260 
600000 	0 
150000 	42840 
365673 	53205 
172976 	15300 
53670 	11730 
51612 	0 
600000 	0 
259059 	0 
30000 	0 
69158 	0 
203294 	0 
258900 	0 
119059 	21420 
122196 	25500 
177700 	0 
419590 	30600 
277790 	30564 
184100 	22440 
357750 	29906 
67176 	61200 
79466 	10404 
31126 	13770 
194849 	13056 
71789 	0 
77801 	15300 
128932 	40800 
90232 	20400 
65647 	45900 
21436 	8160 
600000 	173951 
60000 	0 
63600 	0 
212250 	0 
111098 	14994 
112147 	23460 
29263 	0 
194000 	0 
59882 	0 
137412 	45145 
60265 	13464 
335750 	51000 
395250 	86700 
129176 	30600 
382118 	0 
388600 	24029 
128079 	25500 
551295 	40021 
175000 	20400 
158353 	22440 
61059 	15606 
146267 	0 
54900 	0 
161801 	11107 
115778 	0 
80354 	11220 
94327 	11628 
60990 	28560 
80868 	14899 
180822 	20400 
180200 	35700 
178471 	16320 
51386 	14280 
35515 	11016 
225412 	28560 
171900 	35700 
94782 	14280 
126588 	17340 
128513 	46410 
130990 	33660 
31519 	7140 
308471 	24888 
146107 	18972 
35959 	7650 
34632 	0 
34632 	0 
44105 	10200 
83018 	21420 
351500 	61200 
258588 	35700 
218158 	25500 
134945 	10200 
68023 	15300 
130299 	14790 
105080 	0 
126226 	36720 
98854 	0 
39178 	10506 
148353 	0 
228262 	15300 
117801 	15300 
136402 	15114 
105388 	21522 
96842 	0 
394600 	37740 
33448 	13260 
47775 	8670 
51292 	11220 
177529 	48960 
120540 	30600 
72474 	7303 
350375 	35700 
29787 	11220 
90565 	53040 
123300 	51000 
69165 	32640 
107990 	18870 
128200 	40800 
140289 	28560 
100900 	39300 
69810 	24276 
61375 	16014 
182306 	15300 
101294 	40800 
70919 	21420 
100524 	19380 
130471 	0 
168143 	14280 
400900 	45900 
22000 	0 
40286 	9690 
295700 	20400 
86118 	0 
192000 	0 
169460 	15606 
118534 	19380 
39178 	11220 
314500 	0 
51386 	14280 
35848 	11152 
118534 	22440 
74694 	14790 
27196 	15300 
63174 	14280 
131852 	39780 
77801 	19380 
116314 	23154 
99000 	49807 
66118 	0 
126413 	15300 
30737 	45900 
186107 	12240 
449770 	56652 
48913 	11424 
116015 	30600 
119300 	21147 
41467 	26520 
108384 	20400 
118534 	24225 
213290 	28560 
41000 	15300 
155493 	13382 
420000 	0 
215059 	31196 
239000 	30600 
78744 	13838 
522375 	67449 
299470 	24480 
70776 	14280 
128502 	33660 
224941 	23529 
446770 	63719 
82099 	18360 
214000 	61200 
600900 	432127 
181436 	32130 
122846 	0 
216254 	29070 
50900 	0 
335125 	0 
312000 	0 
134706 	0 
128609 	0 
93047 	0 
181412 	0 
70254 	18134 
100000 	22440 
118224 	0 
100250 	33906 
57030 	15300 
547100 	26520 
201059 	29789 
250000 	0 
278580 	0 
354590 	0 
34526 	0 
55532 	11220 
346454 	32640 
167065 	17748 
138790 	16320 
59158 	0 
210000 	0 
64576 	0 
160000 	0 
294728 	27540 
88456 	13260 
135515 	42024 
204753 	42218 
400900 	0 
39263 	0 
70600 	0 
25789 	0 
76211 	0 
149721 	12240 
55579 	0 
72621 	0 
206600 	0 
208600 	0 
80118 	0 
87412 	11220 
600900 	65280 
111500 	25500 
195529 	0 
72801 	13260 
36737 	0 
69158 	0 
150000 	22083 
75047 	0 
51941 	12954 
100000 	20400 
121125 	16320 
141273 	0 
217200 	46170 
118670 	33660 
232214 	27540 
338000 	24480 
91249 	37740 
123000 	67544 
83412 	0 
81875 	21420 
75529 	0 
120000 	0 
117433 	0 
67036 	9300 
32056 	13716 
343765 	31620 
130824 	0 
122196 	40800 
80000 	10710 
113206 	20400 
548800 	37740 
85622 	10914 
466900 	0 
202335 	36720 
450000 	37740 
77800 	11934 
130000 	30600 
118534 	15300 
64200 	21474 
161915 	18870 
66703 	14280 
152212 	33456 
599873 	0 
203745 	19796 
161400 	51000 
50051 	18360 
300900 	216648 
830000 	60861 
130188 	33660 
27989 	0 
35789 	0 
33684 	0 
169460 	24684 
127529 	0 
71736 	7446 
56936 	14790 
114760 	18360 
127903 	15300 
173891 	11730 
118534 	29070 
250000 	40800 
55579 	0 
74940 	13528 
132074 	16524 
71518 	0 
118534 	25500 
483899 	29020 
32737 	51000 
186824 	35700 
313100 	35700 
113765 	21420 
63674 	0 
74632 	0 
160118 	0 
54497 	18360 
180931 	20400 
132500 	30600 
248588 	30600 
38262 	12240 
393200 	23460 
126125 	14280 
60931 	10914 
404800 	0 
36297 	17340 
265125 	61200 
125949 	0 
100900 	0 
140478 	23970 
68034 	17850 
58371 	12240 
60000 	0 
126118 	0 
70143 	6120 
126000 	37740 
241047 	44420 
110490 	0 
135988 	0 
58634 	10710 
335100 	30600 
50098 	15504 
158442 	30090 
71000 	22644 
43728 	13260 
249529 	59935 
236353 	0 
64312 	15300 
360199 	0 
46526 	20400 
198377 	15300 
216836 	24480 
563800 	25500 
277882 	86700 
208451 	24480 
191900 	0 
250000 	0 
64941 	24538 
181400 	0 
73176 	45900 
255250 	22440 
118706 	55080 
61000 	9180 
24500 	0 
150178 	30600 
71910 	17340 
182907 	15300 
216000 	20400 
149721 	12240 
174583 	23970 
204000 	43860 
202800 	0 
350700 	30914 
765670 	68093 
354000 	140004 
154161 	13260 
117135 	33660 
162000 	0 
200000 	0 
154900 	94044 
103900 	0 
188254 	30522 
86172 	18360 
188625 	40800 
77801 	30600 
120941 	0 
78706 	18650 
32884 	11730 
100000 	0 
60931 	7304 
154235 	69475 
513000 	37548 
29351 	8568 
52421 	0 
142225 	13260 
397600 	30600 
72995 	21071 
450000 	0 
110102 	18360 
47169 	15606 
54497 	17340 
132185 	24480 
99750 	33273 
276400 	25500 
155765 	17748 
162100 	0 
145118 	73440 
61158 	0 
72625 	0 
24198 	8670 
57186 	15300 
260000 	19380 
53579 	0 
193176 	25500 
438625 	73654 
200000 	27389 
103363 	28560 
67176 	45749 
43432 	17340 
197625 	27893 
135515 	18564 
61091 	0 
304900 	35700 
216254 	30600 
135515 	23970 
83753 	15912 
62118 	30600 
184000 	35700 
386000 	51000 
152353 	30600 
33091 	35292 
130168 	51000 
22750 	11730 
104327 	15300 
220346 	21420 
68811 	20400 
150900 	40800 
138941 	28560 
51900 	25500 
74784 	16320 
335125 	40800 
114436 	0 
52496 	15300 
50000 	40800 
138734 	11220 
272800 	24270 
118534 	20400 
150000 	0 
150178 	15300 
1000000 	0 
1000000 	0 
240235 	45900 
26162 	12444 
24198 	8976 
386995 	30600 
248118 	189638 
191558 	52020 
128079 	13025 
85647 	0 
77801 	15300 
50000 	30048 
333846 	43965 
202860 	20400 
34433 	0 
68811 	12240 
73059 	35700 
74361 	40800 
113882 	0 
151490 	0 
360235 	43860 
118534 	13260 
181077 	31824 
177529 	0 
62118 	0 
121490 	0 
40417 	0 
155625 	0 
39000 	0 
76248 	11220 
116647 	14790 
114717 	10200 
269646 	33660 
133059 	35700 
35263 	12750 
83240 	15300 
56876 	13668 
48118 	0 
65529 	20400 
24000 	40800 
89647 	0 
286900 	0 
132933 	28560 
51164 	14280 
38891 	0 
121753 	10812 
236353 	29376 
484875 	0 
35948 	0 
331625 	45900 
211975 	14280 
244941 	30600 
678600 	62231 
168690 	30600 
72403 	8160 
51900 	39183 
311000 	23763 
630900 	20400 
231900 	25500 
293000 	78751 
39399 	10710 
103384 	23460 
116869 	10713 
131855 	15300 
131529 	22084 
286500 	0 
39399 	17340 
102682 	0 
162471 	0 
179800 	0 
142125 	35700 
126700 	0 
136646 	25500 
86680 	8364 
98576 	0 
24416 	0 
118534 	63750 
531800 	0 
55604 	10200 
41294 	0 
120941 	35700 
142235 	32640 
31174 	8160 
306936 	31392 
124824 	0 
224900 	22185 
83412 	17340 
164372 	14260 
77801 	14790 
100000 	47940 
215863 	25500 
173882 	25787 
134500 	20400 
103412 	30600 
155059 	16320 
30919 	12648 
79244 	12240 
33091 	15810 
224870 	0 
124416 	16014 
59882 	15300 
220941 	25500 
139400 	12546 
60043 	13770 
160941 	18389 
100000 	0 
58737 	28082 
177800 	14280 
10363 	26520 
29263 	0 
126525 	25500 
108000 	25500 
274000 	0 
192375 	31110 
83046 	49872 
119879 	16320 
49111 	22440 
24946 	0 
81616 	30600 
85046 	27540 
94450 	10200 
115250 	41115 
72252 	32640 
435700 	37087 
65647 	30600 
